SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49352,FUTSTK,0,DABUR-Jan2026-FUT,1250,DABUR JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49353,FUTSTK,0,DALBHARAT-Jan2026-FUT,325,DALBHARAT JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49354,FUTSTK,0,DELHIVERY-Jan2026-FUT,2075,DELHIVERY JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49363,FUTSTK,0,DIVISLAB-Jan2026-FUT,100,DIVISLAB JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49364,FUTSTK,0,DIXON-Jan2026-FUT,50,DIXON JAN FUT,27-01-2026 14:30,-0.01,XX,100,M,FUT,,
NSE,D,49370,FUTSTK,0,DLF-Jan2026-FUT,825,DLF JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49372,FUTSTK,0,DMART-Jan2026-FUT,150,DMART JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49374,FUTSTK,0,DRREDDY-Jan2026-FUT,625,DRREDDY JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49375,FUTSTK,0,EICHERMOT-Jan2026-FUT,100,EICHERMOT JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49383,FUTSTK,0,ETERNAL-Jan2026-FUT,2425,ETERNAL JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49384,FUTSTK,0,EXIDEIND-Jan2026-FUT,1800,EXIDEIND JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49391,FUTSTK,0,FEDERALBNK-Jan2026-FUT,5000,FEDERALBNK JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49392,FUTSTK,0,FORTIS-Jan2026-FUT,775,FORTIS JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49393,FUTSTK,0,GAIL-Jan2026-FUT,3150,GAIL JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49394,FUTSTK,0,GLENMARK-Jan2026-FUT,375,GLENMARK JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49395,FUTSTK,0,GMRAIRPORT-Jan2026-FUT,6975,GMRAIRPORT JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
